Key,Glyph,,Key,Glyph,,Key,Glyph,,Key,Glyph
a,⍺,,A,⍶ GNU,,1,¨,,!,⌶
b,⊥,,B,£ GNU,,2,¯,,@,⍫
c,∩,,C,⍧ GNU?,,3,<,,#,⍒
d,⌊,,D,,,4,≤,,$,⍋
e,∊,,E,⍷,,5,=,,%,⌽
f,_,,F,⍫ GNU,,6,≥,,^,⍉
g,∇,,G,,,7,>,,&,⊖
h,∆,,H,⍙ GNU,,8,≠,,*,⍟
i,⍳,,I,⍸,,9,∨,,(,⍱
j,∘,,J,⍤,,0,∧,,),⍲
k,',,K,⌺ GNU ⌸ DYA,,`,◊,,~,⌺ DYA
l,⎕,,L,⌷,,-,×,,_,!
m,\vert,,M,,,=,÷,,+,⌹
n,⊤,,N,,,",",⍝,,<,⍪
o,○,,O,⍥,,/,⌿,,?,⍠
p,⋆,,P,⍣,,[,←,,{,⍞
q,?,,Q,,,],→,,},⍬
r,⍴,,R,,,;,⍎,,:,≡
s,⌈,,S,,,',⍕,,"""",≢
t,∼,,T,⍨,,\,⊢,,\vert,⊣
u,↓,,U,,,§,,,±,
v,∪,,V,,,.,. GNU  ⍀ DYA,,>,⍀ GNU  ⍙ DYA
w,⍵,,W,⍹ GNU,,,,,,
x,⊃,,X,χ GNU,,,,,,
y,↑,,Y,¥ GNU,,,,,,
z,⊂,,Z,⊆ DYA,,,,,,
